"Culture Name

List what do people call your culture? Include nicknames, acronyms, or symbols if they exist.","Values & Traits

List what does your culture care about? What does the community value?

","Material Culture

List materials, objects, foods, images, sounds etc., that are associated with your culture.  

If not applicable, skip it.","Kinships

List which other cultures does yours connect with, borrow from, or resemble?

If not applicable, skip it.","Cultural Knowledgebase
How fixed or dynamic is your culture’s core body of knowledge? On one end are cultures with established, unchangeable texts or practices (e.g., sacred religious texts). On the other end are cultures where knowledge is open, fluid, and constantly being rewritten.",Membership Openness  ,"Language Acquisition

How difficult is it for someone new to learn and use the language of your culture? Please rate on a scale from very hard to very easy. ","Scope of Your Culture

How would you describe the scope of this culture?
(e.g., national culture, local community, hobby group, family practice, etc.)

Does it exists in more then one scope? ","Cultural Practices

How do people belong in this culture? Are there any key symbols and shared stories? What makes them feel like a part of the bigger picture?","Your Own Words
Some things about a culture can't be captured by premade categories. What did we miss? This is your space to tell us more.
What makes your culture unique?
What does your culture share in common that is meaningful to you?
What are you all about?
Your words help bring your culture to life within Belonging.
(Recommended minimum length 100 words so others can truly understand your culture.)"
Sámi,"Academics, Athletics, Growth, Creativity, Loyalty","Michigan ""M"", colors maize and blue, Zingerman's Deli, the Diag squirrel","other American universities, Big 10, Midwest",2,6,2,subculture of American academic institutions,"People join this culture when they become students, but then continue to be a part of the alumni network after graduating. You can go anywhere across the globe and often find an alumni wearing the Michigan ""M"" on a hat or t-shirt. If you say ""Go Blue,"" people will almost always say it back. The ""Go Blue"" acknowledges a shared history of once being a Michigan student, sharing academic and community values. You never feel alone.","While there are tons of fantastic universities across the globe, I think what made Michigan unique is the blend of academic rigor with community spirit. Most people really value education and academic excellence in general, but usually it is not the end all, be all. The school promotes collaboration and community spirit, which definitely comes out through the athletic programs."
Salsa Dance Community,"Family, spontaneity, laid-back lifestyle, confidence, pride, wisdom, peace, independence","human towers, beach, sun, paella, sangria, siesta, wine, grapes, rumba, gralla (instrument), trumpets, calçots, catalan sausage, catalan cream, catalan flag, correfocs","Spanish, Italian, French, Basque",3,5,3,National culture,"Catalan language is the main thing, if you speak it, you're considered part of it. If you do human towers, you're probably in it as well. Listening to Catalan music also gets you near the culture and the spaces Catalan-first people share. Next would be partaking in food practices like calçots, but those ones are more open.","Something that is kind of unique to our culture but is shared with the Basque culture is that it takes pride of being against external authorities. Other subcultures of Spain have the same regional pride (food, dances, own vocabulary - though not quite a whole new language) but are less political. Catalan culture is political in itself because there was an erasing force and the Catalan people tried to stand against it. Partaking in Catalan culture practices can sometimes have a side of soft activism, when in other regions it could just be a normal shared practice with other people in the culture. There is a special pride - not arrogance - that comes with those practices. Then, there is another side to it that is more specific to the geographic area where Catalonia is in - the sun, the beach, the weather, the food. Those are activities that everyone partakes in, regardless of origin or language, and are accessible to everybody - it's just the daily way of life of Catalan people and those who Catalans share a physical space with. Because Barcelona is extremely touristy, everyone ends up getting a small taste of the Catalan way of life. "
Samba Dancers,"Filial piety (孝), respect for elders, education, diligence, harmony, collectivism, face (面子), reciprocity (人情), perseverance, pragmatism, community","Calligraphy (书法), tea (茶), rice/noodles, dumplings, hot pot, porcelain, silk, qipao/hanfu, lanterns, Spring Festival couplets, guzheng/erhu, gong, Chinese opera, courtyard houses (四合院)","Influenced by and connected with Korean, Japanese, Vietnamese cultures; shares roots with broader East Asian/Confucian traditions; interacts with Tibetan, Mongolian, Hui, Uyghur, and diverse Chinese ethnic cultures",6,5,4,national,"Belonging often forms through family lineage, language use (Mandarin or regional tongues), shared holidays, and everyday rituals. Key practices include Lunar New Year, Mid‑Autumn Festival, ancestor veneration, and communal meals. Symbols and stories—like the dragon, the character 福, zodiac animals, and tales of Confucius—create a felt unity. Participating in festivals, observing etiquette, giving red envelopes, respecting elders, and learning proverbs build connection to the bigger picture.","Chinese culture feels like a living tapestry woven from family, food, language, and shared seasons. What makes it unique to me is the balance of continuity and reinvention: classical texts, recipes, and rituals anchor us, while each generation adapts them. We value harmony, effort, and care for elders, but also curiosity and craft—writing characters by hand, listening to the guzheng, trading stories at the table. We share common moments that matter: returning home for New Year, honoring ancestors, gifting small acts of kindness, and speaking in idioms that carry wisdom. At heart, we’re about belonging through practice—showing up for one another, learning together, and celebrating the ordinary as much as the grand."
Sami,"Skill mastery, teamwork, creativity, persistence/grinding, fair play, sportsmanship, strategy, competition, humor, inclusivity, modding/DIY","PCs/consoles, controllers, mechanical keyboards, headsets, streaming rigs, RGB lighting, game merch, OSTs, pixel art, speedrun timers, energy drinks/snacks","Connected with anime/manga, tabletop RPGs, cosplay, tech/PC building, esports/athletics, internet subcultures, creators/modders, indie dev communities",2,1,2,"Gamer culture spans a global hobby community with strong online networks, local clubs/lan parties, esports ecosystems, and family/friend groups who play together. It exists across multiple scopes simultaneously—platform subcultures (PC, console, mobile), genre scenes (RPGs, FPS, strategy), and creator/modding communities.","Belonging happens through playing together, joining guilds/clans, voice chat, Discord servers, and shared rituals like patch‑day hype, midnight releases, and co‑op runs. Symbols and stories include GG, XP/levels, achievements/trophies, avatars, speedrun records, esports rivalries, and memes. People feel part of the bigger picture by contributing—strategies, guides, mods, clips, fan art—and by showing sportsmanship, teamwork, and a willingness to learn.","Gamer culture is a participatory world built on challenge, creativity, and camaraderie. What makes it unique is how quickly it evolves: a balance of competitive mastery and playful experimentation, where every patch, strat, or mod can reshape the meta. We share a language of moments—first clears, clutch wins, heartbreaking wipes, and the quiet joy of grinding toward a goal. Belonging comes from showing up for your squad, teaching newcomers, and celebrating both skill and discovery. At its heart, gamer culture is about making worlds together: designing routes, theory‑crafting builds, telling stories with avatars, and turning pixels and rules into friendships that outlast any single game."
Slow Food Movement,"Passion for storytelling and art, fandom dedication, creativity, cosplay/craft, community, authenticity, attention to detail, collecting, respect for creators, subbing/scans culture, inclusivity","Blu-rays/box sets, manga volumes, figures/nendoroids, wall scrolls/posters, cosplay props, con lanyards, OSTs/vinyl, AMVs, streaming queues, Japanese snacks/ramen, J-pop/J-rock, anime openings/endings","Connected with Japanese pop culture (J‑pop, JRPGs), cosplay and maker communities, gaming/esports, comics/graphic novels, K‑pop and broader East Asian media fandoms, animation and indie art scenes",2,1,3,"Anime lover culture is a global fandom hobby spanning online communities, local club meetups and conventions, plus home viewing and collecting. It exists across multiple scopes at once: international streaming platforms, regional fan groups, cosplay circles, and creator spaces for AMVs, fan art, and reviews.","Belonging happens through shared watchlists, seasonal “cour” discussions, cosplay, con attendance, and participating in forums/Discord. Symbols and stories—like OP/ED themes, iconic lines, character archetypes, and studio reputations—create continuity. People feel part of the bigger picture by recommending series, making fan works, learning terms (seiyuu, isekai, slice‑of‑life), and celebrating releases, anniversaries, and award wins.","Anime lover culture is about finding meaning in animated stories and sharing that spark. What makes it unique is the blend of craft and community: directors’ styles, music that lingers, frames that invite rewatching, and the conversations that follow. We value curiosity—trying new genres each season—and generosity, from fansubbing history to thoughtful recommendations. Belonging feels like singing an OP with friends, trading theories after cliffhangers, and building cosplays that bring characters to life. At heart, we’re about connection through art: noticing details, honoring creators, and turning solitary viewing into a shared, joyful ritual."
startup founders,"Resilience, cross‑cultural curiosity, adaptability, academic ambition, mutual support, resourcefulness, empathy, global perspective, language learning, community building","Passports/visa docs, dorm essentials, laptops, adapters, transit cards, campus maps, care packages, comfort foods from home, language apps, student discounts cards, orientation swag","Connected with immigrant communities, study‑abroad/exchange programs, diaspora groups, ESL/linguistics circles, international alumni networks, multicultural campus clubs and associations",2,2,3,"International student culture spans campus communities, global networks, and local diaspora ties. It exists at multiple scopes simultaneously: university clubs and advising offices, city‑level student groups, online support forums, and informal circles of classmates, roommates, and mentors across borders.","Belonging forms through orientation cohorts, WhatsApp/Discord groups, study circles, potlucks with home foods, and navigating visas, housing, and internships together. Shared symbols and stories include passports/visas, first‑day campus maps, culture nights, career fairs, and milestones like securing housing or OPT/CPT. People feel part of the bigger picture by exchanging resources, translating systems, celebrating festivals, and offering rides, referrals, and moral support.","International student culture feels like building a second home while learning a new language of life—bureaucracy, academics, and everyday logistics. What makes it unique is the blend of resilience and generosity: figuring out banking and healthcare, decoding coursework, and sharing checklists, recipes, and quiet encouragement. We value curiosity and mutual aid—teaching each other how to email professors, prepare for interviews, and find the best food near campus. Our common thread is choosing challenge: crossing oceans to chase an education and carrying our hometowns in small rituals. At heart, we’re about turning strangers into a network—celebrating wins, surviving setbacks, and translating uncertainty into confidence together."
Street Art Collective,"Open Curriculum spirit, intellectual curiosity, interdisciplinarity, student agency, community service, humility, collaboration, creativity, social impact, inclusion","Alumni pins, class rings, reunion badges, campus merch, coffee chats, newsletters, alumni directory, Providence landmarks, RISD/Brown collab events, gate-opening ceremonies, Muffin/Warm Cookie traditions","Connected with Ivy League networks, Providence/Rhode Island communities, RISD and cross‑reg teams, tech/startup ecosystems, public service and social innovation circles",4,6,2,"Brown alumni culture spans a global university alumni network, local city/regional chapters, class cohorts by graduation year, and cross‑disciplinary professional circles. It exists across multiple scopes at once: campus traditions remembered worldwide, digital communities, and in‑person reunions and mentoring programs.","Belonging happens through reunion weekends, alumni interviews/mentorship, chapter meetups, career panels, and giving back. Shared symbols and stories—like the Van Wickle Gates, “Ever True,” “Go Bruno!,” the Open Curriculum, and Providence touchstones—create continuity. People feel part of the bigger picture by supporting students, collaborating across fields, and celebrating classmates’ milestones.","Brown alumni culture is defined by curiosity and care: the Open Curriculum becomes a lifelong habit of crossing boundaries and inviting others in. What makes it unique is the mix of humility and initiative—alums show up to help, connect, and build, whether that’s mentoring, starting ventures, or hosting gatherings. We share the feeling of walking through the Gates and carrying that openness forward: listening first, learning widely, and turning neighborhoods and workplaces into communities. At heart, we’re about being “ever true”—keeping ties alive, celebrating diverse paths, and making impact with warmth and collaboration."
Sustainable Fashion Lovers,"Lyrical skill, storytelling, authenticity, wordplay, flow/cadence, hustle, stage presence, community, innovation, cultural critique","Mics, DAWs and beat packs, notebooks/phones for bars, studio booths, mixtapes, vinyl, hoodies/sneakers, cover art, music videos, cyphers, DJ sets","Connected with hip‑hop elements (DJing, breakdance, graffiti), R&B, jazz/soul sampling, spoken word/poetry slams, streetwear, producer/DJ communities",2,2,3,"Rapper culture spans local scenes and crews, national music industries, global hip‑hop communities, and online networks. It exists across multiple scopes at once: neighborhood cyphers, indie circuits, major labels, and creator economies on streaming and social platforms.","Belonging happens through writing bars, recording, performing at open mics, cyphers, and collaborations. Shared symbols and stories—like the mic, the cipher circle, origin tales of boroughs/blocks, classic albums, and battles—build continuity. People feel part of the bigger picture by honing craft, paying respect to predecessors, supporting peers, and contributing to community narratives.","Rapper culture is a craft and a conversation—rhythm, breath, and truth shaped into bars. What makes it unique is its relentless self‑invention: flipping memories into metaphors, pain into performance, and everyday details into punchlines. We value authenticity and skill, but also community—iron sharpening iron in cyphers, sharing stems, trading verses, and lifting each other on stage and online. The common thread is voice: telling the story only you can tell, honoring the lineage while pushing sound forward. At heart, we’re about making language move—finding flow, finding family, and turning a beat into a place where we all belong."
Tabletop RPG Players,"Empirical rigor, reproducibility, ethics, curiosity, interdisciplinary collaboration, open science, careful inference, patient impact, methodological innovation","Lab notebooks, IRB protocols, pipettes and microscopes, electrodes/EEG caps, MEG/fMRI scanners, neural datasets, code repos, preprints, conference posters, brain models","Connected with psychology/cognitive science, psychiatry/neurology, bioengineering/BCI, data science/ML, genomics, philosophy of mind, human‑computer interaction",3,5,5,"Neuroscientist culture spans academic departments and labs, clinical settings, industry R&D, and global societies/conferences. It exists at multiple scopes simultaneously: university programs, hospital research units, startup and pharma teams, and international collaborations coordinated through journals, consortia, and data‑sharing initiatives.","Belonging happens through lab work, reading groups, conference posters/talks, co‑authored papers, and peer review. Shared symbols and stories include neuron schematics, EEG/fMRI maps, “publish‑or‑perish,” replication challenges, and landmark experiments and atlases. People feel part of the bigger picture by contributing reproducible datasets and methods, mentoring students, adhering to IRB/ethics, and advancing understanding from molecules to behavior.","Neuroscientist culture is a patient climb toward insight—turning messy signals into careful stories about the brain. What makes it unique is the fusion of rigor and wonder: calibrating instruments, debugging code, and weighing statistics, while staying open to surprising results. We share a commitment to ethics and reproducibility, and to collaboration across fields—biology with engineering, computation with clinical care. Belonging feels like presenting a poster after months of experiments, reviewing a colleague’s preprint thoughtfully, and teaching the next generation to question assumptions. At heart, we’re about illuminating mechanisms that can improve lives—building trustworthy knowledge, one validated finding at a time."
Tech Startups,"ownership, bias to action, customer obsession, resilience, clarity, speed, learning loops, candor, scrappiness, long‑term vision, ethical impact","whiteboards, Notion/docs, GitHub repos, standups, investor updates, demo day decks, prototypes, user interviews, dashboards, KPI trackers, hoodies/laptops, coffee","Connected with VC/angel networks, product/design communities, engineers/makers, accelerators/incubators, indie hacker and open‑source cultures, small‑business and creator economies",2,2,3,"Startup founder culture spans local ecosystems (meetups, incubators, coworking), national accelerators and investor networks, and global communities across tech hubs and online. It exists simultaneously in small team rituals, cross‑industry forums, and international demo days and conferences.","Belonging forms through building and shipping: standups, retros, user interviews, pitch nights, and sharing metrics transparently. Symbols and stories—like MVPs, ramen profitability, pivot tales, unicorns/rockets, and classic founder letters—create continuity. People feel part of the bigger picture by mentoring, open‑sourcing tools, writing postmortems, and celebrating launches and milestones.","Founder culture is learning in public—turning uncertainty into experiments and experiments into value. What makes it unique is the blend of urgency and care: moving fast for customers while keeping integrity with teams and stakeholders. We share humility in listening and courage in decisions, from killing features to changing direction. Belonging feels like late‑night debugging, honest board updates, and the quiet pride of a first paying user. At heart, we’re about compounding insight through feedback loops—asking better questions, building simple things well, and creating products that help people and endure."
Urban ecologist,"Intellectual excellence, leadership, service, curiosity, interdisciplinary learning, mentorship, tradition with innovation, integrity, global impact, community","Alumni pins/cards, reunions badges, class notes, House scarves, Harvard Yard landmarks, lectures/forums, networking mixers, email lists, newsletters, Harvard Club events","Connected with Ivy League networks, Boston/Cambridge civic communities, cross‑school alumni (GSAS, SEAS, HBS, GSD, HLS), MIT/Greater Boston tech and research ecosystems, global scholarship and public service circles",5,6,2,"Harvard alumni culture spans a global university alumni network, local club chapters and House communities, class cohorts by year and school, and cross‑disciplinary professional circles. It exists simultaneously through campus traditions remembered worldwide, digital groups, and in‑person reunions, lectures, and mentoring.","Belonging happens through reunions, chapter events, the HAA network, mentorship/interviews, talks and forums, and service initiatives. Shared symbols and stories—like the Veritas shield, Crimson, Harvard Yard and Houses, Commencement, and “Veritas” ideals—create continuity. People feel part of the bigger picture by supporting students, collaborating across fields, and celebrating classmates’ milestones and impact.","Harvard alumni culture feels like curiosity carried forward—turning the habits of study and discussion into lifelong collaboration. What makes it unique is the mix of tradition and initiative: House bonds, the Yard’s memory, and the impulse to connect people and ideas. We share a language of mentorship, lectures, and service, and the belief that knowledge should travel. Belonging is showing up for chapters, offering advice on a call, and cheering peers’ work from lab to startup to public service. At heart, we’re about living “Veritas” with warmth—building communities that keep learning, open doors, and make a wider impact."
Urban Foragers,"Scientific and creative excellence, rigor, originality, integrity, collaboration, impact on humanity, perseverance, mentorship, public engagement","Medals/diplomas, lecture transcripts, research papers/books, lab notebooks or compositions, conference stages, press interviews, archives, foundation events, white ties and gowns at ceremonies","Connected with global academia and research institutes, literary and arts communities, peace and humanitarian organizations, policy bodies, prize/fellowship networks (Fields, Turing, Lasker, Pulitzer)",4,7,5,"Nobel laureate culture spans a global academy of recognition, national institutions and labs, universities and research centers, and public forums for science, literature, and peace. It exists across multiple scopes simultaneously: committees and ceremonies in Stockholm/Oslo, scholarly networks, museums/archives, and civic dialogues shaped by laureate lectures and advocacy.","Belonging is formal—via prize selection—then sustained through lectures, publications, mentorship, and public engagement. Shared symbols and stories include the Nobel medal and diploma, ceremony traditions, landmark discoveries or works, and the narrative of advancing knowledge for humanity. People feel part of the bigger picture by contributing to their fields, collaborating across borders, and engaging with society through education, ethics, and peace initiatives.","Nobel laureate culture is a crossroads of excellence and responsibility. What makes it unique is how individual achievement becomes a public trust: discoveries, novels, and peace efforts move from labs and libraries into the world’s conversation. We share a commitment to rigor, originality, and ethics, and a belief that ideas should improve lives. Belonging feels like standing on a stage to represent a community of mentors, peers, and students—and then continuing the work through teaching, collaboration, and advocacy. At heart, this culture is about stewarding influence wisely: honoring the past, opening doors for the next generation, and using recognition to catalyze deeper curiosity and humane impact."
Virtual Reality Enthusiasts,"resilience, opportunity, education, family support, mutual aid, adaptability, bilingualism, hard work, dignity, hope, cross‑cultural respect","documents (passports, visas, IDs), WhatsApp groups, community centers, remittances, comfort foods, spice mixes, language apps, transit cards, religious/cultural holiday items, neighborhood shops","Connected with refugee/asylee communities, international students, migrant workers, expatriates, diaspora associations, multicultural/local civic orgs, faith communities",2,2,3,"Immigrant culture spans local neighborhoods, city/regional communities, national networks, and global diaspora ties. It exists across multiple scopes at once: community centers and places of worship, online support groups, workplaces and schools, and transnational family connections maintained through calls, remittances, and visits.","Belonging forms through mutual aid—sharing housing leads, job tips, and system know‑how—plus cultural festivals, language exchange, potlucks, and mentorship across generations. Symbols and shared stories include passports/visas, first job and first home milestones, holiday gatherings, and the journey narratives of crossing borders and building new routines. People feel part of the bigger picture by celebrating heritage, helping newcomers, and sustaining ties between old and new homes.","Immigrant culture feels like carrying two maps—one of where we came from and one of where we’re going—and learning to read them together. What makes it unique is everyday courage and generosity: decoding paperwork, finding schools and doctors, and turning kitchens and parks into familiar places. We share small rituals that matter—recipes from home, group chats that translate systems, rides to appointments—and a belief that opportunity grows when we help each other. At heart, we’re about resilience with care: honoring our roots, building new belonging, and weaving communities that make the unfamiliar feel like home."
Zulu,"Creativity, hyperfocus, curiosity, authenticity, resilience, mutual support, acceptance, flexible routines, clarity, accommodations, strengths‑based growth","fidget tools, noise‑canceling headphones, whiteboards/notebooks, reminder apps, timers/Pomodoro, planners, visual schedules, medication organizers, body‑doubling co‑working, calming playlists","Connected with broader neurodiversity movement (autism, dyslexia), mental health communities, educators and accessibility advocates, productivity/assistive tech circles, peer support groups",2,3,3,"ADHD culture spans online communities, local support groups/clinics, schools/workplaces with accommodations, and broader neurodiversity networks. It exists across multiple scopes simultaneously—personal routines, peer spaces, advocacy orgs, and research/clinical settings.","Belonging forms through shared strategies and mutual aid: body‑doubling sessions, timers/Pomodoro, planners and visual cues, medication management, and celebrating small wins. Symbols and stories—like the infinity neurodiversity loop, “time blindness,” hyperfocus projects, and masking/unmasking journeys—create continuity. People feel part of the bigger picture by swapping tools, advocating for accessibility, and normalizing strengths alongside challenges.","ADHD culture feels like designing life around attention as a dynamic resource—honoring bursts of hyperfocus and building kind scaffolds for executive function. What makes it unique is the mix of creativity and practicality: turning fidget tools, checklists, playlists, and peer accountability into a humane system that works. We share a language of compassion—naming time blindness, celebrating progress over perfection, and making invisible effort visible. Belonging is co‑working quietly, texting reminders, and reframing “distractions” as curiosity that can lead to great work. At heart, we’re about acceptance with structure: seeing people as whole, building environments that fit brains, and choosing tools that help us thrive."
